G4,G7,G14,G19,S1,S2,S3,S4,S8
1,4,-1.38265,3,12.3719,1791.5,2534.49,3948.09,0.142765
1,3,-1.60517,0,9.98023,930.782,1452.64,2281.15,0.170062
1,2,-2.32198,0,9.9609,822.88,1360.71,2107.84,0.179196
1,4,-1.67364,0,9.01464,843.629,1586.21,2256.47,0.180109
1,4,-1.82822,0,10.6345,1043.32,1951.33,2761.42,0.176997
1,4,-1.19198,3,13.8228,1551.77,3436.97,4260.94,0.178718
4,7,-0.264439,4,10.2229,1295.2,1840.04,2704.53,0.122412
1,3,-1.54801,3,11.5337,1198.3,2326.75,3292.16,0.186274
1,3,-1.2828,3,10.3443,1200.32,1744,2740.31,0.152597
2,3,-2.57575,0,11.1652,764.642,1596.28,2318.36,0.213167
1,3,-1.77231,2,11.292,1736.32,2621.31,3974.32,0.148405
7,10,1.68229,6,10.7541,1754.54,2435.27,3724.47,0.131248
1,4,-1.42333,3,11.0464,1592.53,3508.77,4573.9,0.191442
2,5,-1.18326,2,11.0258,1989.58,2731.22,4254.28,0.135492
1,5,-2.20273,3,11.7178,1634.57,3157.14,3742.68,0.133322
6,9,1.47847,6,10.1447,1098.4,2568.37,3288.63,0.200792
5,8,1.08947,5,10.2189,1248.92,1990.16,2643.95,0.116817
1,5,-0.668982,3,9.42884,1286.45,1407.91,2233.29,0.0923221
1,4,-2.96551,0,9.54325,883.528,1545.7,2295.52,0.177411
4,7,0.244166,5,10.2705,1399.33,1874.94,2796.93,0.113924
2,4,-1.02434,2,11.0018,1813.83,2524.52,3900.75,0.135743
1,3,-2.22446,0,9.95514,955.3,1437.33,2363.22,0.179361
1,4,-1.1127,2,10.8009,381.274,2106.34,2255.48,0.336673
1,5,-2.67807,3,11.7579,2271.4,3575.22,4295.45,0.0867693
2,4,-0.496567,2,10.6904,935.839,2311.71,2855.13,0.204292
1,5,-1.2595,3,10.9219,1330.52,2426.58,3172.99,0.145353
1,4,-1.43241,4,10.379,1163.68,1950.05,2705.52,0.142921
1,4,-2.81823,4,9.88907,1980.71,2994.2,3149.37,0.0529886
1,4,-1.19419,4,10.379,1157.44,1751.41,2694.54,0.154486
1,5,-1.32546,3,9.74861,1421.07,2175.7,2631.31,0.0819523
1,4,-2.39392,3,10.379,2047.74,2308.62,3340.7,0.0678083
1,5,-2.26173,3,10.7616,1721.01,2690.55,3524.23,0.10801
1,5,-1.85002,3,11.0305,1879.39,2566.41,3377.03,0.0783362
2,4,-2.67809,5,10.7211,1781.32,2106.97,3484.02,0.124083
1,5,-2.19577,3,12.2196,1730.4,3261,3705.39,0.117712
4,7,-0.213443,5,14.6537,2196.72,5032.21,5162.78,0.148359
4,8,-2.22204,5,17.0661,2422.84,9580.47,11134.8,0.292246
4,7,-0.957961,5,17.5231,1690.8,6396.81,7667.24,0.289956
5,9,-0.517792,5,17.5276,1769.81,7158.47,8617.91,0.303411
4,7,-0.828639,5,12.8283,1970.96,3539.09,4537.98,0.13575
5,9,-0.253946,5,16.2932,1744.16,5749.12,7078.88,0.268356
1,3,-0.476669,3,11.2213,1328.09,2285.95,3125.74,0.14482
1,4,-1.38153,3,9.60309,1622.57,1823.86,2705.03,0.0748958
1,4,-0.655112,3,10.2947,1323.38,1809.73,2649.72,0.11211
1,4,-0.878911,3,10.2947,1384.42,2079.77,2864.51,0.113861
1,4,-1.70498,3,10.7577,1536.25,2947.67,3605.6,0.139447
1,4,-1.68248,4,10.4443,1206.76,2160.41,2745.37,0.132458
1,4,-1.99416,2,9.41577,1653.56,1870.7,2802.97,0.0793958
3,6,-4.79014,2,11.9862,2477.68,3351.02,5279.27,0.136274
4,6,-3.68993,0,11.9756,3402.03,3664.63,6175.81,0.111403
6,8,-3.22888,5,16.5996,1157.46,9550.47,10231,0.388479
5,6,-5.81152,2,12.5054,4171.66,6683.93,7508.95,0.076521
6,7,-3.92898,4,10.3042,3061.02,4170.73,4321.93,0.0312933
10,13,-9.1584,6,20.2188,10804,28620,29136.1,0.183147
8,9,-6.83213,7,17.0687,6006.27,11671.8,15003,0.156187
9,12,-11.7469,6,20.6801,8791.15,34359.5,36750.8,0.276253
10,12,-9.71398,8,18.6454,9855.65,20535.7,23187.7,0.141427
3,5,-4.00039,1,16.8961,993.576,7472.16,8262.45,0.381463
0,4,-2.00748,3,12.02,1408.3,2942.28,3422.48,0.148535
0,2,-6.18414,0,16.8057,1353.06,11448.9,12356.3,0.391861
0,3,-6.11987,0,16.1783,1473.06,11311.4,12344.8,0.382383
0,1,-6.51679,0,16.1725,1417,12154.1,13135.6,0.393414
0,3,-5.19586,0,15.9199,1502.17,8284.64,9520.29,0.346129
0,5,-4.91222,0,15.915,1669.64,8676.09,10046.5,0.338392
0,2,-4.01795,0,14.0114,645.629,4727.21,4780.18,0.370029
0,2,-4.64225,2,13.6744,1842.99,5474.56,6716.75,0.245183
0,2,-4.4335,2,13.8731,1202.23,6180.57,6734.18,0.327629
0,6,-6.19587,0,18.0859,1947.03,13575,15304,0.374875
0,4,-6.95331,0,17.7781,2057.33,14240.8,16109.9,0.374447
0,2,-4.28885,0,16.0366,720.985,7592.3,8306.89,0.41391
0,3,-5.04061,0,16.1949,1064.06,8885.47,9946.33,0.394369
0,4,-5.67367,0,16.8073,1356.85,11251.7,12602.2,0.393705
0,2,-5.24217,2,15.754,1243.37,8951.94,9805.63,0.375247
0,2,-5.43067,0,16.6007,805.196,9389.66,10188.5,0.421498
1,3,-4.34557,0,16.0386,717.273,7650.35,8362.88,0.414911
0,6,-4.07481,0,16.028,1275.5,7553.79,8816.52,0.358745
0,3,-3.69436,0,13.4953,925.419,5427.26,6343.1,0.357612
0,2,-4.11974,0,13.416,973.941,6043.61,7014.36,0.364179
0,3,-4.45653,0,15.0364,1633.92,6495.43,8116.57,0.308325
0,3,-3.6999,0,14.6813,787.062,6663.26,7443.94,0.395562
0,2,-4.14731,0,13.266,999.215,5433.35,5843.55,0.334773
1,5,-1.88145,3,11.2664,1171.81,2480.8,3121.58,0.171542
1,5,-2.0818,3,12.1831,2047.08,2645.47,4231.95,0.131427
1,5,-2.23944,3,11.2664,2157.89,2750.8,4392.71,0.12757
1,5,-1.18909,3,11.2664,1090.3,2256.27,2909.77,0.172824
1,5,-2.66512,3,11.4913,1750.72,2329.97,3527.95,0.117699
1,4,-1.0306,3,10.3004,1318.2,1933.44,2591.24,0.099745
1,5,-2.09185,3,11.4913,2014.92,3074.18,3131.09,0.0508512
3,4,-2.28241,2,10.6761,455.434,2016.25,2260.36,0.306627
1,3,-2.67817,2,9.95221,1189.91,1671.56,2413.69,0.113612
2,4,-2.61991,2,9.88775,1264.25,1810.67,2676.69,0.126377
2,5,-2.84524,2,10.3579,1421.94,2384.23,3028.34,0.116173
1,3,-2.77852,2,11.0193,1256.31,2610.87,3291.89,0.16749
1,5,-3.07873,2,10.0319,1418.22,2351.03,2993.85,0.114107
2,5,-2.63093,2,12.1133,1280.38,2789.98,3650.51,0.189825
1,4,-1.65874,2,9.94221,1064.22,1438.73,2267.17,0.136268
1,3,-4.14762,2,11.1018,2310.31,2939.86,4573.2,0.117279
2,5,-4.00128,2,12.2803,2233.2,3397.47,4937.08,0.13491
1,4,-3.01999,2,10.2048,1490.82,2304.87,3436.3,0.148056
2,4,-1.78081,2,10.0206,935.51,1848.21,2300.23,0.151313
1,3,-1.93942,2,11.1019,923.834,2583.06,2981.13,0.217634
1,5,-2.23963,2,10.0133,1096.64,2266.69,2706.34,0.151975
1,4,-0.819635,2,9.98352,762.048,1406.21,1969.81,0.170175
9,13,-3.31687,0,18.3122,3051.06,15248.1,16954.8,0.32591
2,5,-0.697064,3,11.2664,374.21,2188.56,2239.33,0.340549
1,5,-0.65732,3,11.2664,527.505,2226.9,2361.33,0.289873
1,5,-0.99095,3,11.2664,772.758,2255.25,2594.89,0.226843
1,5,-1.25364,3,11.2664,1149.93,2274.16,2988.04,0.167035
1,5,-1.66768,3,11.2664,1628.83,2343.27,3515.52,0.132767
1,5,-2.91005,3,14.4983,2198.55,4518.81,6234.6,0.191952
1,5,-3.7383,3,16.8659,2228.75,7400.58,9125.24,0.270212
1,5,-4.15242,3,18.0655,2241.02,9213.48,10934.4,0.303507
1,5,-1.49995,3,11.2664,1305.95,2370.49,3196.17,0.153588
1,5,-1.61851,4,11.2664,1102.91,2361.08,2995.87,0.176617
1,5,-3.95199,4,14.9562,1873.06,5056.04,5926.29,0.212776
1,5,-3.99284,4,11.7963,2075.5,3488.2,4408.66,0.115376
1,5,-4.40704,4,13.7628,1858.08,4571.38,5553.46,0.199148
1,5,-2.46624,3,11.3072,2073.9,2647.56,4212.7,0.126529
1,5,-3.5162,4,14.0165,1938.49,4412.87,5637.29,0.193626
1,5,-4.94679,3,17.0918,2570.09,10724.3,12359.8,0.300685
1,5,-2.55532,4,11.2664,1549.94,2909.88,3062.71,0.102749
1,5,-2.55532,4,11.2664,1624.31,2874.14,3054.98,0.0899969
1,5,-2.81825,3,11.2664,1702.18,2984.36,3192.96,0.0888661
1,5,-1.80589,3,9.99972,1420.87,2159.63,2549.37,0.0747662
1,5,-1.83718,3,9.58885,1476.76,2200.42,2364.61,0.0530728
1,5,-2.70954,3,11.68,1787.4,2805.37,3858.26,0.12395
4,6,-2.75022,0,11.9812,717.029,3393.41,4104.26,0.331465
3,6,-3.15947,0,14.037,640.481,4062.13,4589.82,0.363154
2,4,-3.71104,0,12.7872,355.555,3090.43,3277.58,0.393071
2,4,-3.72139,0,12.896,352.094,3104.76,3373.4,0.396759
3,5,-4.65492,1,15.5208,3396.51,7649.25,9517.92,0.183796
3,5,-2.45453,0,10.4255,1912.36,3041.1,3552.19,0.0827531
1,4,-1.78688,3,10.5437,1308.79,3180.09,3882.13,0.19736
1,4,-2.23686,3,10.3852,1349.66,2195.42,2957.05,0.126061
1,4,-1.24336,3,11.4516,1158.39,2274.84,2915.88,0.158003
1,4,-1.65748,3,12.6939,1203.32,3006.33,3687.78,0.205262
1,4,-2.0716,3,13.9382,1217.14,3949.21,4632.2,0.254228
1,4,-2.89985,3,16.4285,1246.63,6467.31,7161.68,0.331285
1,4,-3.7281,3,18.9209,1268.85,9922.42,10620,0.382466
1,4,-1.07563,3,10.3556,1174.2,1946.78,2542.68,0.121399
1,4,-1.19419,4,10.5496,1102.01,1810.17,2364.95,0.119212
1,4,-1.19419,4,9.33537,1228.93,1695.8,2260.22,0.0842635
1,4,-1.45713,3,9.52622,1350.1,1909.37,2356,0.0691567
1,4,-1.68289,4,10.1123,1566.18,2024.45,2636.7,0.0640905
1,4,-1.68289,4,9.83763,1437.22,2103.45,2523.28,0.0699859
1,4,-2.23686,3,10.3855,1349.66,2195.46,2956.93,0.126048
1,4,-2.03833,3,11.6962,1192.56,3058.27,3659.09,0.205378
1,4,-3.08929,4,13.9944,1869.66,4553,5305.46,0.186844
1,4,-3.08929,4,13.2783,1982.39,4697.43,5131.92,0.167007
1,4,-1.7764,4,12.1088,1992.92,2661.68,4009.63,0.11667
1,4,-1.70968,4,11.7314,1999.11,2528.49,3880.55,0.110972
1,4,-2.10465,4,12.1074,2157.2,2866,4057.87,0.0943538
1,4,-2.51867,4,13.4142,2208.49,3483.15,4662.68,0.116633
1,4,-3.33105,4,12.7408,2342.4,4110.71,5243.39,0.12857
2,5,-1.14693,4,11.1292,2176.47,2670.63,3894.79,0.0868272
1,4,-2.15722,3,10.3914,2092.95,2682.36,4261.31,0.126828
2,4,-2.67809,5,10.4527,1673.06,2150.53,3336.98,0.118653
1,3,-2.73299,4,11.2746,1631.44,2378.04,3417.06,0.120678
1,5,-1.2595,3,10.9801,1234.73,2459.48,3029.54,0.150621
1,5,-2.95496,3,13.8809,1610.75,5602.05,5938.13,0.251084
1,5,-1.31149,3,10.551,1219.56,2280.2,2852.19,0.138906
1,5,-2.20273,3,12.3012,1574.55,3164.84,3932.99,0.155225
1,5,-1.60525,3,10.4846,1568.13,2280.37,2955.63,0.0880902
1,5,-2.19577,3,10.5044,2017.45,2875.31,3216.42,0.050475
3,6,-1.01119,4,12.6221,1442.04,2887.85,3634.06,0.157714
1,5,-1.70047,3,9.11352,1522.61,1810.53,2475.29,0.0610919
